,날짜,시가,고점,저점,종가,거래량,증감,종가-시가,최대-최소
71,"Apr02,2020",1098.26,1126.86,1096.4,1120.84,1964900.0,1,22.579999999999927,30.45999999999981
72,"Apr03,2020",1119.02,1123.54,1079.81,1097.88,2313400.0,1,21.139999999999873,43.73000000000002
73,"Apr06,2020",1138.0,1194.66,1130.94,1186.92,2664700.0,1,48.92000000000007,63.72000000000003
74,"Apr07,2020",1221.0,1225.0,1182.23,1186.51,2387300.0,1,34.49000000000001,42.76999999999998
75,"Apr08,2020",1206.5,1219.07,1188.16,1210.28,1975100.0,0,3.7799999999999727,30.909999999999854
76,"Apr09,2020",1224.08,1225.57,1196.73,1211.45,2175400.0,0,12.629999999999882,28.839999999999918
77,"Apr13,2020",1209.18,1220.51,1187.6,1217.56,1739800.0,1,8.379999999999882,32.91000000000008
78,"Apr14,2020",1245.09,1282.07,1236.93,1269.23,2470400.0,0,24.1400000000001,45.13999999999987
79,"Apr15,2020",1245.61,1280.46,1240.4,1262.47,1671700.0,1,16.860000000000127,40.059999999999945
80,"Apr16,2020",1274.1,1279.0,1242.62,1263.47,2518100.0,0,10.629999999999882,36.38000000000011
81,"Apr17,2020",1284.85,1294.43,1271.23,1283.25,1949000.0,0,1.599999999999909,23.200000000000045
82,"Apr20,2020",1271.0,1281.6,1261.37,1266.61,1695500.0,1,4.3900000000001,20.230000000000018
83,"Apr21,2020",1247.0,1254.27,1209.71,1216.34,2153000.0,0,30.660000000000082,44.559999999999945
84,"Apr22,2020",1245.54,1285.61,1242.0,1263.21,2093100.0,0,17.670000000000073,43.6099999999999
85,"Apr23,2020",1271.55,1293.31,1265.67,1276.31,1566200.0,1,4.759999999999991,27.639999999999873
86,"Apr24,2020",1261.17,1280.4,1249.45,1279.31,1640400.0,0,18.139999999999873,30.950000000000045
87,"Apr27,2020",1296.0,1296.15,1269.0,1275.88,1600600.0,0,20.11999999999989,27.15000000000009
88,"Apr28,2020",1287.93,1288.05,1232.2,1233.67,2951300.0,1,54.25999999999999,55.84999999999991
89,"Apr29,2020",1341.46,1359.99,1325.34,1341.48,3793600.0,0,0.01999999999998181,34.65000000000009
90,"Apr30,2020",1324.88,1352.82,1322.49,1348.66,2668900.0,0,23.779999999999973,30.329999999999927
91,"May01,2020",1328.5,1352.07,1311.0,1320.61,2072500.0,1,7.8900000000001,41.069999999999936
92,"May04,2020",1308.23,1327.66,1299.0,1326.8,1504000.0,0,18.569999999999936,28.660000000000082
93,"May05,2020",1337.92,1373.94,1337.46,1351.11,1651500.0,1,13.189999999999827,36.48000000000002
94,"May06,2020",1361.69,1371.12,1347.29,1347.3,1215400.0,0,14.3900000000001,23.829999999999927
95,"May07,2020",1365.94,1377.6,1355.27,1372.56,1397600.0,0,6.619999999999891,22.329999999999927
96,"May08,2020",1383.13,1398.76,1375.48,1388.37,1388100.0,1,5.239999999999782,23.279999999999973
97,"May11,2020",1378.28,1416.53,1377.15,1403.26,1412100.0,1,24.980000000000018,39.37999999999988
98,"May12,2020",1407.12,1415.0,1374.77,1375.74,1390600.0,1,31.37999999999988,40.23000000000002
99,"May13,2020",1377.05,1385.48,1328.4,1349.33,1812600.0,0,27.720000000000027,57.07999999999993
100,"May14,2020",1335.02,1357.42,1323.91,1356.13,1603100.0,0,21.110000000000127,33.50999999999999
101,"May15,2020",1350.0,1374.48,1339.0,1373.19,1707700.0,1,23.190000000000055,35.48000000000002
102,"May18,2020",1361.75,1392.32,1354.25,1383.94,1824000.0,0,22.190000000000055,38.069999999999936
103,"May19,2020",1387.0,1392.0,1373.48,1373.48,1280600.0,0,13.519999999999982,18.519999999999982
104,"May20,2020",1389.58,1410.42,1387.25,1406.72,1655400.0,1,17.1400000000001,23.170000000000073
105,"May21,2020",1408.0,1415.49,1393.45,1402.8,1385000.0,0,5.2000000000000455,22.039999999999964
106,"May22,2020",1396.71,1412.76,1391.83,1410.42,1309400.0,1,13.710000000000036,20.930000000000064
107,"May26,2020",1437.27,1441.0,1412.13,1417.02,2060600.0,0,20.25,28.86999999999989
108,"May27,2020",1417.25,1421.74,1391.29,1417.84,1685800.0,1,0.5899999999999181,30.450000000000045
109,"May28,2020",1396.86,1440.84,1396.0,1416.73,1692200.0,0,19.87000000000012,44.83999999999992
110,"May29,2020",1416.94,1432.57,1413.35,1428.92,1838100.0,1,11.980000000000018,19.220000000000027
111,"Jun01,2020",1418.39,1437.96,1418.0,1431.82,1217100.0,0,13.429999999999836,19.960000000000036
112,"Jun02,2020",1430.55,1439.61,1418.83,1439.22,1278100.0,1,8.670000000000073,20.779999999999973
113,"Jun03,2020",1438.3,1446.55,1429.78,1436.38,1256200.0,0,1.9199999999998454,16.769999999999982
114,"Jun04,2020",1430.4,1438.96,1404.73,1412.18,1484300.0,0,18.220000000000027,34.23000000000002
115,"Jun05,2020",1413.17,1445.05,1406.0,1438.39,1734900.0,0,25.220000000000027,39.049999999999955
116,"Jun08,2020",1422.34,1447.99,1422.34,1446.61,1404200.0,1,24.269999999999982,25.65000000000009
117,"Jun09,2020",1445.36,1468.0,1443.21,1456.16,1409200.0,0,10.800000000000182,24.789999999999964
118,"Jun10,2020",1459.54,1474.26,1456.27,1465.85,1525200.0,0,6.309999999999945,17.99000000000001
119,"Jun11,2020",1442.48,1454.47,1402.0,1403.84,1991300.0,0,38.6400000000001,52.47000000000003
120,"Jun12,2020",1428.49,1437.0,1386.02,1413.18,1944200.0,0,15.309999999999945,50.98000000000002
121,"Jun15,2020",1390.8,1424.8,1387.92,1419.85,1503900.0,0,29.049999999999955,36.87999999999988
122,"Jun16,2020",1445.22,1455.02,1425.9,1442.72,1709200.0,1,2.5,29.11999999999989
123,"Jun17,2020",1447.16,1460.0,1431.38,1451.12,1548300.0,0,3.959999999999809,28.61999999999989
124,"Jun18,2020",1449.16,1451.41,1427.01,1435.96,1581100.0,1,13.200000000000045,24.40000000000009
125,"Jun19,2020",1444.0,1447.8,1421.35,1431.72,3157900.0,0,12.279999999999973,26.450000000000045
126,"Jun22,2020",1429.0,1452.75,1423.21,1451.86,1542400.0,0,22.8599999999999,29.539999999999964
127,"Jun23,2020",1455.64,1475.94,1445.24,1464.41,1429800.0,1,8.769999999999982,30.700000000000045
128,"Jun24,2020",1461.51,1475.42,1429.75,1431.97,1756000.0,1,29.539999999999964,45.67000000000007
129,"Jun25,2020",1429.9,1442.9,1420.0,1441.33,1230500.0,0,11.429999999999836,22.90000000000009
130,"Jun26,2020",1431.39,1433.45,1351.99,1359.9,4267700.0,1,71.49000000000001,81.46000000000004
131,"Jun29,2020",1358.18,1395.6,1347.01,1394.97,1810200.0,0,36.789999999999964,48.58999999999992
132,"Jun30,2020",1390.44,1418.65,1383.96,1413.61,2042400.0,1,23.169999999999845,34.690000000000055
133,"Jul01,2020",1411.1,1443.0,1409.82,1438.04,1775200.0,1,26.940000000000055,33.180000000000064
134,"Jul02,2020",1446.94,1482.95,1446.42,1464.7,1859100.0,0,17.75999999999999,36.52999999999997
135,"Jul06,2020",1480.06,1506.59,1472.86,1495.7,1564000.0,0,15.6400000000001,33.73000000000002
136,"Jul07,2020",1490.0,1516.8,1483.55,1485.18,1458200.0,0,4.819999999999936,33.25
